"player_id","player_name","pos","team","n","adp_ovr","adp_pos","high_ovr","high_pos","low_ovr","low_pos"
"14912","Blankenship, Rodrigo","PK","IND",3,177.3,5.3,135,4,202,7
"12391","Williams, Tyrell","WR","DET",4,177.8,65.5,160,56,208,76
"11747","White, James","RB","NEP",8,178.1,52.8,148,44,217,64
"13832","Sanders, Jason","PK","MIA",7,178.1,4.6,145,2,204,6
"13234","Mack, Marlon","RB","IND",1,179,52,179,52,179,52
"14122","Slayton, Darius","WR","NYG",2,179,66,146,54,212,78
"14808","Evans, Darrynton","RB","TEN",2,179,52,170,50,188,54
"14127","Meyers, Jakobi","WR","NEP",7,179.7,65.6,143,52,208,73
"9075","Jackson, DeSean","WR","LAR",5,179.8,67.8,148,59,205,76
"14844","Edwards, Bryan","WR","LVR",2,180,69.5,180,69,180,70
"13718","Carlson, Daniel","PK","LVR",1,181,6,181,6,181,6
"14811","Ahmed, Salvon","RB","MIA",2,182,52.5,158,46,206,59
"15297","Rodgers, Amari","WR","GBP",1,182,65,182,65,182,65
"15287","St. Brown, Amon-Ra","WR","DET",5,182.2,68.2,168,62,206,75
"12184","Crowder, Jamison","WR","NYJ",4,182.5,67.2,173,60,195,74
"13880","Arnold, Dan","TE","CAR",1,183,28,183,28,183,28
"14837","Hamler, KJ","WR","DEN",1,183,72,183,72,183,72
"15255","Gainwell, Kenneth","RB","PHI",7,183.1,53.7,170,50,193,56
"12197","Perriman, Breshad","WR","DET",5,183.2,68.2,153,56,197,74
"9686","Succop, Ryan","PK","TBB",2,184,4.5,170,4,198,5
"12386","Brown, Malcolm","RB","MIA",4,186.5,53.5,170,48,213,61
"14846","Mims, Denzel","WR","NYJ",5,188.8,70,154,56,218,80
"14592","Zaccheaus, Olamide","WR","ATL",1,189,73,189,73,189,73
"11670","Watkins, Sammy","WR","BAL",3,190.3,71.7,161,63,216,79
"12956","Lutz, Wil","PK","NOS",2,190.5,5.5,179,5,202,6
"15292","Brown, Dyami","WR","WAS",1,191,75,191,75,191,75
"11886","Williams, Damien","RB","CHI",1,192,52,192,52,192,52
"13633","Kirk, Christian","WR","ARI",5,194.8,73.8,174,69,221,83
"13246","Alie-Cox, Mo","TE","IND",3,195.7,27,177,25,224,29
"11761","McKinnon, Jerick","RB","KCC",1,197,58,197,58,197,58
"15268","Hawkins, Javian","RB","ATL",2,199,56.5,195,56,203,57
"12317","Uzomah, C.J.","TE","CIN",1,201,31,201,31,201,31
"11516","Doyle, Jack","TE","IND",1,203,32,203,32,203,32
"14857","Peoples-Jones, Donovan","WR","CLE",1,204,78,204,78,204,78
"12150","Gurley, Todd","RB","FA*",1,205,58,205,58,205,58
"15319","Palmer, Josh","WR","LAC",1,209,77,209,77,209,77
"13793","Valdes-Scantling, Marquez","WR","GBP",2,209.5,79,200,77,219,81
"13623","Williams, Darrel","RB","KCC",1,210,60,210,60,210,60
"12629","Booker, Devontae","RB","NYG",1,214,62,214,62,214,62
"14114","Harmon, Kelvin","WR","WAS",1,223,84,223,84,223,84
